data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/abalone/datasets/SMOTENC/1.csv,0.8571,2,4177,5299,0.9068,0.8877,0.8385,0.8759,0.9174,0.9388,0.8885,0.7769,0.8915
./selection/abalone/datasets/SMOTENC/2.csv,0.8571,2,4177,5299,0.9068,0.8877,0.8385,0.8759,0.9174,0.9388,0.8885,0.7769,0.8915
./selection/abalone/datasets/SMOTENC/3.csv,0.8571,2,4177,5299,0.9007,0.892,0.8326,0.8828,0.9405,0.9446,0.8991,0.7892,0.8981
./selection/abalone/datasets/SMOTENC/4.csv,0.8571,2,4177,5299,0.9007,0.892,0.8326,0.8828,0.9405,0.9446,0.8991,0.7892,0.8981
./selection/abalone/datasets/SMOTENC/5.csv,0.8571,2,4177,5299,0.9085,0.8882,0.851,0.8743,0.8998,0.94,0.8928,0.7754,0.8897
./selection/abalone/datasets/SMOTENC/6.csv,0.8571,2,4177,5299,0.9063,0.892,0.8262,0.8853,0.9559,0.9456,0.9009,0.7936,0.9
./selection/abalone/datasets/SMOTENC/7.csv,0.8571,2,4177,5299,0.9035,0.8953,0.8482,0.8844,0.9251,0.9489,0.9068,0.7925,0.899
./selection/abalone/datasets/SMOTENC/8.csv,0.8571,2,4177,5299,0.9002,0.891,0.8318,0.8822,0.9405,0.9433,0.898,0.7878,0.8972
./selection/abalone/datasets/SMOTENC/9.csv,0.8571,2,4177,5299,0.9028,0.8915,0.8433,0.8796,0.9196,0.9444,0.898,0.7839,0.895
./selection/abalone/datasets/SMOTENC/10.csv,0.8571,2,4177,5299,0.9047,0.8896,0.837,0.8785,0.9251,0.9438,0.8953,0.7817,0.8941
