Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
L,298.9,310.2,1304.0,57.2,183.0,0
L,296.9,308.0,1713.0,29.3,13.0,0
L,298.4,309.4,1385.0,50.0,201.0,0
H,302.4,311.2,1506.0,40.8,204.0,0
H,298.8,309.8,1563.0,38.8,65.0,0
L,302.0,310.6,1392.0,50.0,84.0,0
M,298.9,309.0,1924.0,22.6,193.0,0
M,301.4,310.7,1692.0,32.3,5.0,0
L,295.7,306.2,1458.0,40.6,103.0,0
L,299.0,308.7,2250.0,16.6,208.0,0
L,302.2,310.7,1769.0,24.9,91.0,0
M,297.3,308.1,1369.0,52.0,214.0,0
L,300.3,309.2,1807.0,26.4,169.0,0
L,301.5,310.4,1474.0,39.9,53.0,0
L,303.7,312.7,1540.0,44.8,196.0,0
L,300.2,310.0,1486.0,40.1,182.0,0
L,300.1,311.4,1604.0,35.0,191.0,0
M,297.8,308.5,1488.0,41.9,196.0,0
L,297.2,308.6,1392.0,41.5,108.0,0
M,298.3,309.6,1469.0,54.8,191.0,0
M,300.1,309.3,1469.0,43.9,20.0,0
L,302.4,310.3,1923.0,23.3,172.0,0
M,299.6,309.1,1560.0,37.1,73.0,0
L,301.0,311.0,1634.0,31.2,182.0,0
L,300.4,310.5,2424.0,14.5,12.0,0
L,298.0,308.2,1357.0,48.2,7.0,0
M,297.9,309.0,1525.0,38.5,113.0,0
M,297.5,308.0,1429.0,45.8,148.0,0
L,297.7,309.7,1498.0,41.0,176.0,0
M,299.3,309.1,1703.0,31.3,120.0,0
L,301.8,310.7,1644.0,33.4,68.0,0
L,304.1,313.0,1566.0,37.2,7.0,0
L,300.3,309.1,1368.0,46.0,171.0,0
L,299.4,310.8,1424.0,47.7,109.0,0
L,302.1,311.4,1889.0,22.7,194.0,0
L,298.5,309.5,1385.0,46.3,203.0,1
H,300.6,309.7,1470.0,43.8,18.0,0
L,301.6,310.8,1355.0,57.8,195.0,1
L,301.2,310.7,1568.0,38.3,49.0,0
L,299.7,311.1,1690.0,30.6,148.0,0
L,296.8,307.7,1565.0,40.1,89.0,0
L,300.6,312.3,1532.0,37.2,54.0,0
H,298.5,308.7,1450.0,43.9,28.0,0
M,296.7,307.8,1672.0,32.4,113.0,0
H,298.1,308.4,1515.0,43.8,6.0,0
L,302.3,311.5,1543.0,33.1,39.0,0
L,296.4,307.4,1403.0,48.4,70.0,0
L,298.2,307.9,1785.0,23.4,181.0,0
M,301.6,310.7,1457.0,47.8,7.0,0
M,297.5,308.5,1662.0,30.3,26.0,0
M,302.2,311.4,1642.0,32.1,42.0,0
M,300.2,310.1,1619.0,31.3,38.0,0
M,297.5,308.6,1429.0,50.5,129.0,0
M,298.2,307.7,1952.0,21.6,93.0,0
M,299.7,309.1,1352.0,46.1,102.0,0
L,298.6,309.6,1540.0,35.8,5.0,0
M,298.1,308.9,1335.0,50.4,110.0,0
M,301.6,310.8,1290.0,65.3,63.0,0
M,300.7,309.6,1525.0,36.5,71.0,0
L,302.8,310.8,1402.0,50.5,30.0,0
H,298.9,310.2,1771.0,26.8,216.0,0
M,300.7,311.3,1348.0,53.0,35.0,0
H,299.1,308.8,1553.0,32.6,90.0,0
M,299.1,310.1,1570.0,30.9,226.0,0
L,301.8,310.6,1403.0,46.8,151.0,0
H,299.6,309.1,1588.0,41.3,0.0,0
L,301.6,310.6,1478.0,36.6,218.0,0
M,298.9,310.1,1555.0,40.6,176.0,0
M,299.5,309.2,1314.0,61.8,45.0,0
M,301.6,310.6,1691.0,30.1,40.0,0
L,299.5,310.8,1447.0,41.0,93.0,0
L,297.5,308.8,1587.0,34.9,166.0,0
L,301.3,310.4,1507.0,39.1,194.0,0
L,300.6,309.6,1684.0,32.8,53.0,0
L,301.8,310.7,2092.0,18.6,51.0,0
L,301.4,310.8,1490.0,38.0,168.0,0
L,298.2,307.9,1847.0,23.6,69.0,0
H,302.3,311.8,1804.0,25.0,43.0,0
M,300.6,310.0,1486.0,41.2,127.0,0
L,302.4,310.0,1426.0,46.6,102.0,0
L,299.1,308.5,1455.0,39.8,145.0,0
M,300.7,309.6,1439.0,43.0,61.0,0
L,299.9,309.6,1254.0,61.3,124.0,0
H,297.7,308.4,1738.0,27.7,96.0,0
L,300.3,309.8,1450.0,55.0,135.0,0
L,303.7,312.4,1513.0,40.1,135.0,0
M,303.8,312.7,1500.0,41.7,125.0,0
L,300.1,309.7,1680.0,33.8,140.0,0
L,298.6,309.5,1730.0,30.2,41.0,0
M,298.4,309.3,1355.0,50.6,8.0,0
M,300.5,311.9,1323.0,57.9,155.0,0
M,301.9,310.9,1763.0,28.4,103.0,0
M,302.0,310.6,1539.0,37.4,96.0,0
H,300.9,309.5,1469.0,43.4,126.0,0
M,299.7,309.3,1399.0,41.9,221.0,1
L,298.9,310.1,1341.0,54.5,51.0,0
H,302.0,310.5,1812.0,24.4,138.0,0
L,299.7,309.1,1475.0,40.0,123.0,0
M,301.7,311.0,1510.0,47.8,27.0,0
L,301.0,310.9,1568.0,38.2,172.0,0
H,298.0,308.6,1526.0,41.8,160.0,0
M,298.9,308.2,2022.0,20.0,23.0,0
M,298.7,309.5,1487.0,33.6,183.0,0
L,299.6,310.9,1448.0,46.3,196.0,0
L,297.4,308.5,1410.0,43.9,47.0,0
M,303.4,311.9,1419.0,50.9,39.0,0
L,296.7,307.8,1505.0,39.4,236.0,0
M,302.9,312.4,1421.0,46.0,206.0,0
L,300.5,311.3,1490.0,41.8,39.0,0
L,300.9,310.4,1788.0,27.8,90.0,0
M,299.2,308.6,1586.0,35.7,138.0,0
L,300.5,310.8,1509.0,33.0,153.0,0
M,297.6,308.7,1408.0,54.8,147.0,0
L,296.6,307.5,1582.0,37.9,197.0,0
L,299.3,309.0,1449.0,46.5,121.0,0
H,299.1,310.4,1369.0,54.5,104.0,0
L,302.0,309.9,1407.0,52.8,154.0,0
H,298.9,310.3,1243.0,63.0,163.0,0
M,298.9,308.6,1469.0,34.2,93.0,0
L,297.3,308.3,1494.0,38.2,14.0,0
L,301.4,310.5,1380.0,48.4,131.0,0
L,300.8,312.5,1423.0,47.3,123.0,0
M,297.8,309.1,1424.0,45.5,2.0,0
L,302.5,310.5,1507.0,39.5,147.0,0
L,302.5,310.3,1326.0,58.5,55.0,1
M,302.3,311.0,1526.0,37.7,171.0,0
L,302.5,310.5,1520.0,41.2,154.0,0
L,300.3,309.3,1478.0,39.5,180.0,0
L,299.7,309.2,1422.0,40.4,140.0,0
L,300.7,311.8,1603.0,34.1,17.0,0
L,302.0,309.8,1532.0,39.4,2.0,0
L,303.3,311.3,1409.0,51.8,16.0,0
M,301.2,310.9,1424.0,45.2,68.0,0
L,300.4,310.4,1298.0,61.4,19.0,0
M,302.2,311.5,1863.0,25.7,85.0,0
H,303.6,312.6,1436.0,42.0,110.0,0
M,298.6,309.6,1525.0,42.4,2.0,0
L,300.6,311.9,1413.0,41.3,43.0,0
M,300.8,309.9,1444.0,46.0,180.0,0
L,297.2,308.6,1335.0,53.0,39.0,0
L,300.7,311.9,1399.0,50.2,222.0,1
L,296.8,308.0,1536.0,40.4,217.0,0
M,298.9,309.6,1567.0,34.5,204.0,0
L,299.0,308.7,1706.0,28.6,206.0,0
H,300.8,310.5,1559.0,40.1,220.0,0
L,295.6,306.0,1370.0,52.4,115.0,0
L,300.3,311.8,1360.0,48.0,119.0,0
L,297.9,307.4,1606.0,35.5,14.0,0
M,302.4,311.9,1422.0,46.4,194.0,0
L,299.3,309.2,2280.0,15.4,207.0,0
L,298.1,307.7,1479.0,45.0,136.0,0
M,298.6,309.5,1404.0,43.3,33.0,0
M,298.3,308.1,1630.0,32.7,83.0,0
L,301.7,309.9,1317.0,49.0,187.0,1
L,299.0,310.1,1699.0,32.9,87.0,0
L,300.3,311.3,1505.0,39.6,107.0,0
M,299.7,309.6,1534.0,39.1,176.0,0
H,297.3,308.4,1864.0,23.1,90.0,0
L,301.0,310.9,1428.0,45.3,47.0,0
L,297.9,308.1,1393.0,50.3,193.0,0
L,297.9,308.8,1681.0,31.7,94.0,0
L,298.6,309.8,1544.0,30.2,113.0,0
M,297.7,308.8,1350.0,57.0,105.0,0
L,296.8,307.5,1474.0,42.4,107.0,0
M,297.5,307.9,1544.0,37.9,136.0,0
L,297.2,308.6,1437.0,52.4,37.0,0
L,300.4,311.4,1936.0,23.9,131.0,0
L,300.5,309.7,1560.0,30.2,139.0,0
M,300.8,311.2,1434.0,39.1,82.0,0
L,301.7,310.5,1567.0,39.1,114.0,0
L,300.5,311.6,1365.0,53.0,85.0,0
L,300.7,310.3,1458.0,40.0,207.0,0
L,301.4,311.0,1334.0,53.3,157.0,0
M,303.4,312.8,1622.0,35.1,107.0,0
M,302.3,311.7,1453.0,42.5,56.0,0
L,299.7,309.1,1483.0,41.1,208.0,0
H,300.3,311.7,1432.0,47.7,61.0,0
M,302.4,311.0,1490.0,37.1,168.0,0
L,297.1,307.9,1342.0,49.1,179.0,0
L,297.2,308.5,1446.0,43.7,171.0,0
L,299.1,310.2,1496.0,45.0,104.0,0
L,302.3,310.8,1421.0,41.4,102.0,0
L,298.2,308.3,1230.0,59.6,162.0,0
L,300.0,311.4,1508.0,38.2,18.0,0
L,300.0,309.3,1364.0,41.2,104.0,0
L,304.2,313.3,1410.0,51.6,47.0,0
L,302.4,310.2,1445.0,46.4,125.0,0
