data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/ai4i2020/datasets/CTGAN/1.csv,0.7333,3,9981,13499,0.9532,0.9731,0.9772,0.9684,0.9598,0.9961,0.9955,0.9452,0.9715
./selection/ai4i2020/datasets/CTGAN/2.csv,0.7333,1,9981,13499,0.9486,0.972,0.9814,0.9669,0.9529,0.992,0.9924,0.9431,0.9696
./selection/ai4i2020/datasets/CTGAN/3.csv,0.7333,0,9981,13499,0.9553,0.9748,0.9823,0.9703,0.9585,0.9947,0.9944,0.9486,0.9728
./selection/ai4i2020/datasets/CTGAN/4.csv,0.7333,0,9981,13499,0.9489,0.9652,0.9582,0.9594,0.9607,0.9938,0.9929,0.929,0.9646
./selection/ai4i2020/datasets/CTGAN/5.csv,0.8667,3,9981,13499,0.9411,0.963,0.9662,0.9564,0.9468,0.9915,0.9907,0.9244,0.9609
./selection/ai4i2020/datasets/CTGAN/6.csv,0.7333,2,9981,13499,0.9502,0.9722,0.9732,0.9674,0.962,0.9942,0.9939,0.9434,0.9709
./selection/ai4i2020/datasets/CTGAN/7.csv,0.7333,0,9981,13499,0.952,0.9628,0.9472,0.9571,0.9676,0.9932,0.9922,0.9246,0.9634
./selection/ai4i2020/datasets/CTGAN/8.csv,0.7333,3,9981,13499,0.9279,0.967,0.9663,0.9614,0.9568,0.9931,0.9925,0.9328,0.9658
./selection/ai4i2020/datasets/CTGAN/9.csv,0.8667,3,9981,13499,0.9243,0.9489,0.9386,0.9405,0.9425,0.9845,0.9844,0.8958,0.9481
./selection/ai4i2020/datasets/CTGAN/10.csv,0.7333,3,9981,13499,0.9485,0.9733,0.9769,0.9687,0.9607,0.9944,0.994,0.9456,0.9717
