data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/ai4i2020/datasets/SMOTENC/1.csv,0.7333,3,9981,13499,0.9785,0.9754,0.964,0.9717,0.9797,0.9951,0.9922,0.9502,0.9759
./selection/ai4i2020/datasets/SMOTENC/2.csv,0.7333,3,9981,13499,0.9782,0.9774,0.9652,0.974,0.9831,0.995,0.9915,0.9543,0.9781
./selection/ai4i2020/datasets/SMOTENC/3.csv,0.7333,3,9981,13499,0.9799,0.9802,0.9643,0.9773,0.9909,0.9956,0.993,0.9602,0.9815
./selection/ai4i2020/datasets/SMOTENC/4.csv,0.7333,3,9981,13499,0.9787,0.9744,0.966,0.9704,0.9749,0.9941,0.991,0.948,0.9745
./selection/ai4i2020/datasets/SMOTENC/5.csv,0.7333,3,9981,13499,0.9788,0.9743,0.9585,0.9705,0.9831,0.995,0.992,0.9481,0.9754
./selection/ai4i2020/datasets/SMOTENC/6.csv,0.7333,3,9981,13499,0.9779,0.975,0.9594,0.9713,0.9836,0.9948,0.9915,0.9495,0.9761
./selection/ai4i2020/datasets/SMOTENC/7.csv,0.7333,3,9981,13499,0.9804,0.9774,0.9621,0.9741,0.9866,0.9952,0.9918,0.9544,0.9786
./selection/ai4i2020/datasets/SMOTENC/8.csv,0.7333,3,9981,13499,0.979,0.9781,0.9654,0.9749,0.9849,0.9948,0.9915,0.9559,0.979
./selection/ai4i2020/datasets/SMOTENC/9.csv,0.7333,3,9981,13499,0.9805,0.9761,0.9634,0.9725,0.9818,0.9944,0.9903,0.9516,0.9768
./selection/ai4i2020/datasets/SMOTENC/10.csv,0.7333,3,9981,13499,0.9803,0.9769,0.9626,0.9735,0.9849,0.9951,0.9908,0.9534,0.9779
