data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/ai4i2020/datasets/TVAE/11.csv,0.7333,2,9981,13499,0.9393,0.9637,0.9366,0.9587,0.9818,0.9931,0.9902,0.9272,0.966
./selection/ai4i2020/datasets/TVAE/2.csv,0.7333,2,9981,13499,0.938,0.9556,0.9285,0.9493,0.971,0.9909,0.9873,0.9105,0.9575
./selection/ai4i2020/datasets/TVAE/3.csv,0.7333,2,9981,13499,0.9374,0.9593,0.9366,0.9533,0.9706,0.9927,0.9903,0.9177,0.9607
./selection/ai4i2020/datasets/TVAE/4.csv,0.7333,2,9981,13499,0.9459,0.9639,0.9458,0.9584,0.9715,0.9924,0.9897,0.9268,0.9648
./selection/ai4i2020/datasets/TVAE/5.csv,0.7333,2,9981,13499,0.9379,0.9591,0.9368,0.9531,0.9702,0.9922,0.9892,0.9174,0.9605
./selection/ai4i2020/datasets/TVAE/6.csv,0.7333,2,9981,13499,0.941,0.9652,0.9426,0.9601,0.9784,0.9931,0.9897,0.9298,0.9668
./selection/ai4i2020/datasets/TVAE/7.csv,0.7333,2,9981,13499,0.928,0.9604,0.9457,0.9542,0.9628,0.9931,0.9908,0.9194,0.9607
./selection/ai4i2020/datasets/TVAE/8.csv,0.7333,2,9981,13499,0.9412,0.9617,0.9433,0.9559,0.9689,0.9927,0.99,0.9223,0.9626
./selection/ai4i2020/datasets/TVAE/9.csv,0.7333,2,9981,13499,0.939,0.9622,0.949,0.9563,0.9637,0.992,0.9883,0.9231,0.9624
./selection/ai4i2020/datasets/TVAE/10.csv,0.7333,2,9981,13499,0.9468,0.9641,0.9504,0.9584,0.9667,0.9936,0.9914,0.927,0.9644
