data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/airlines/datasets/SMOTENC/1.csv,0.8095,0,16427,20907,0.8429,0.8338,0.7981,0.8129,0.8295,0.8896,0.8552,0.6649,0.8333
./selection/airlines/datasets/SMOTENC/2.csv,0.9048,5,16427,20907,0.8467,0.8264,0.7866,0.803,0.8203,0.8859,0.8502,0.6486,0.8256
./selection/airlines/datasets/SMOTENC/3.csv,0.8095,0,16427,20907,0.8451,0.8299,0.8048,0.8031,0.8019,0.886,0.8526,0.6537,0.8264
./selection/airlines/datasets/SMOTENC/4.csv,0.8095,2,16427,20907,0.8469,0.8263,0.7968,0.8014,0.8069,0.884,0.8541,0.6477,0.8239
./selection/airlines/datasets/SMOTENC/5.csv,0.8095,0,16427,20907,0.8416,0.8265,0.794,0.8071,0.8245,0.8856,0.8584,0.6528,0.8263
./selection/airlines/datasets/SMOTENC/6.csv,0.7143,0,16427,20907,0.8431,0.828,0.7982,0.8019,0.8061,0.8866,0.8598,0.6501,0.8252
./selection/airlines/datasets/SMOTENC/7.csv,0.7143,0,16427,20907,0.847,0.8264,0.8033,0.7999,0.7977,0.8878,0.8586,0.6475,0.8228
./selection/airlines/datasets/SMOTENC/8.csv,0.7143,0,16427,20907,0.8442,0.8268,0.8139,0.7951,0.7776,0.8831,0.8547,0.6459,0.8206
./selection/airlines/datasets/SMOTENC/9.csv,0.7143,0,16427,20907,0.8451,0.8357,0.8102,0.809,0.808,0.8928,0.8595,0.665,0.8323
./selection/airlines/datasets/SMOTENC/10.csv,0.8095,0,16427,20907,0.842,0.8332,0.8212,0.7994,0.7787,0.8872,0.8629,0.6576,0.8264
