data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/bank-marketing/datasets/SMOTENC/1.csv,0.7167,2,4521,5598,0.8962,0.8955,0.867,0.8793,0.8927,0.9598,0.9427,0.7881,0.8952
./selection/bank-marketing/datasets/SMOTENC/2.csv,0.7,2,4521,5598,0.8975,0.9071,0.8888,0.8926,0.8969,0.9636,0.9466,0.8112,0.9059
./selection/bank-marketing/datasets/SMOTENC/3.csv,0.7,2,4521,5598,0.9011,0.9098,0.8833,0.8966,0.9104,0.9663,0.9515,0.8171,0.9099
./selection/bank-marketing/datasets/SMOTENC/4.csv,0.7,2,4521,5598,0.9015,0.9062,0.8817,0.893,0.9073,0.9674,0.9554,0.8118,0.9064
./selection/bank-marketing/datasets/SMOTENC/5.csv,0.7,2,4521,5598,0.8935,0.9076,0.8923,0.893,0.8948,0.9652,0.952,0.8125,0.906
./selection/bank-marketing/datasets/SMOTENC/6.csv,0.7333,2,4521,5598,0.8995,0.8973,0.8628,0.8837,0.9062,0.9609,0.9462,0.7931,0.8984
./selection/bank-marketing/datasets/SMOTENC/7.csv,0.7167,2,4521,5598,0.8886,0.9013,0.8708,0.8872,0.9042,0.9627,0.9473,0.8,0.9017
./selection/bank-marketing/datasets/SMOTENC/8.csv,0.7,2,4521,5598,0.8955,0.9085,0.8828,0.8951,0.9083,0.9661,0.9529,0.8146,0.9085
./selection/bank-marketing/datasets/SMOTENC/9.csv,0.7167,2,4521,5598,0.8948,0.8969,0.85,0.8845,0.9219,0.9634,0.9479,0.7938,0.9
./selection/bank-marketing/datasets/SMOTENC/10.csv,0.7,2,4521,5598,0.8955,0.9058,0.8681,0.8932,0.9198,0.9653,0.9496,0.8102,0.9076
