data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/bank32nh/datasets/SMOTEWB/1.csv,0.7742,5,6213,7908,0.9542,0.9867,0.9804,0.9846,0.9889,0.9932,0.9811,0.973,0.987
./selection/bank32nh/datasets/SMOTEWB/2.csv,0.7621,5,6213,7908,0.9545,0.9874,0.9763,0.9854,0.9948,0.994,0.9842,0.9745,0.9883
./selection/bank32nh/datasets/SMOTEWB/3.csv,0.7782,5,6213,7908,0.9549,0.9842,0.9733,0.9818,0.9904,0.9921,0.9809,0.968,0.985
./selection/bank32nh/datasets/SMOTEWB/4.csv,0.7016,4,6213,7908,0.861,0.9602,0.9597,0.9532,0.9469,0.9887,0.9837,0.9187,0.9585
./selection/bank32nh/datasets/SMOTEWB/5.csv,0.7137,4,6213,7908,0.856,0.9624,0.9592,0.956,0.9528,0.9878,0.9834,0.9232,0.9612
./selection/bank32nh/datasets/SMOTEWB/6.csv,0.7097,5,6213,7908,0.923,0.9817,0.9712,0.9788,0.9867,0.9927,0.9831,0.9628,0.9823
./selection/bank32nh/datasets/SMOTEWB/7.csv,0.7621,5,6213,7908,0.9545,0.9867,0.9798,0.9846,0.9897,0.9936,0.983,0.9731,0.9871
./selection/bank32nh/datasets/SMOTEWB/8.csv,0.7581,5,6213,7908,0.9549,0.987,0.9783,0.985,0.9919,0.9929,0.9812,0.9737,0.9876
./selection/bank32nh/datasets/SMOTEWB/9.csv,0.7218,4,6213,7908,0.923,0.9659,0.9675,0.96,0.9528,0.9871,0.9832,0.9305,0.9642
./selection/bank32nh/datasets/SMOTEWB/10.csv,0.7056,4,6213,7908,0.8563,0.958,0.9554,0.9508,0.9469,0.9883,0.9838,0.9146,0.9566
