data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/fried/datasets/TVAE/1.csv,0.7778,4,22469,28596,0.9185,0.9571,0.968,0.9489,0.9306,0.9867,0.9868,0.9125,0.9538
./selection/fried/datasets/TVAE/2.csv,0.7333,4,22469,28596,0.9376,0.9714,0.9745,0.9663,0.9584,0.9937,0.9933,0.9416,0.9698
./selection/fried/datasets/TVAE/3.csv,0.7333,2,22469,28596,0.9255,0.963,0.9681,0.9563,0.9449,0.9899,0.9897,0.9245,0.9608
./selection/fried/datasets/TVAE/4.csv,0.7333,1,22469,28596,0.9203,0.9625,0.968,0.9557,0.9437,0.9893,0.9894,0.9235,0.9601
./selection/fried/datasets/TVAE/5.csv,0.7333,4,22469,28596,0.9173,0.9588,0.9623,0.9514,0.9408,0.988,0.988,0.9159,0.9566
./selection/fried/datasets/TVAE/6.csv,0.7333,5,22469,28596,0.926,0.9605,0.9584,0.9537,0.949,0.9902,0.9897,0.9193,0.9591
./selection/fried/datasets/TVAE/7.csv,0.7333,4,22469,28596,0.9272,0.9645,0.9703,0.9581,0.9461,0.9916,0.991,0.9275,0.9622
./selection/fried/datasets/TVAE/8.csv,0.7778,4,22469,28596,0.9268,0.9631,0.9626,0.9567,0.9508,0.9899,0.9899,0.9246,0.9616
./selection/fried/datasets/TVAE/9.csv,0.8222,6,22469,28596,0.928,0.9654,0.9708,0.9591,0.9478,0.992,0.9915,0.9293,0.9632
./selection/fried/datasets/TVAE/10.csv,0.7333,5,22469,28596,0.8993,0.9494,0.9477,0.9405,0.9335,0.9864,0.9857,0.8966,0.9474
