data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1-N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/fried/datasets/TabDDPM/1.csv,0.8222,5,22469,28596,0.7939,0.892,0.9019,0.8695,0.8401,0.9498,0.9502,0.7796,0.8855
./selection/fried/datasets/TabDDPM/2.csv,0.9556,8,22469,28596,0.789,0.8909,0.9212,0.8649,0.8152,0.9406,0.9433,0.7781,0.8814
./selection/fried/datasets/TabDDPM/3.csv,0.8222,4,22469,28596,0.7959,0.8936,0.8933,0.8731,0.8537,0.9514,0.9515,0.7822,0.8886
./selection/fried/datasets/TabDDPM/4.csv,0.7333,4,22469,28596,0.7936,0.8976,0.9026,0.8772,0.8533,0.9512,0.9522,0.7905,0.8921
./selection/fried/datasets/TabDDPM/5.csv,0.9111,5,22469,28596,0.7931,0.8944,0.9065,0.8721,0.8403,0.9506,0.9508,0.784,0.8876
./selection/fried/datasets/TabDDPM/6.csv,0.8667,4,22469,28596,0.7918,0.8854,0.8863,0.863,0.8417,0.9465,0.9467,0.7659,0.8799
./selection/fried/datasets/TabDDPM/7.csv,0.8222,4,22469,28596,0.7832,0.8884,0.8949,0.8656,0.8382,0.943,0.945,0.7716,0.8821
./selection/fried/datasets/TabDDPM/8.csv,0.7778,4,22469,28596,0.7915,0.8838,0.8928,0.8593,0.8288,0.9413,0.9431,0.7625,0.8769
./selection/fried/datasets/TabDDPM/9.csv,0.9111,5,22469,28596,0.7952,0.8913,0.9002,0.8687,0.8395,0.949,0.9496,0.7775,0.8848
./selection/fried/datasets/TabDDPM/10.csv,0.7333,4,22469,28596,0.7931,0.8985,0.9212,0.8757,0.8346,0.9491,0.9504,0.7931,0.8905
