data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/japanese-vowels/datasets/CTGAN/1.csv,0.7143,1,9961,11684,0.9866,0.991,0.9915,0.9895,0.9875,0.9991,0.999,0.9817,0.9906
./selection/japanese-vowels/datasets/CTGAN/2.csv,0.7143,1,9961,11684,0.9836,0.9891,0.9842,0.9873,0.9905,0.9995,0.9993,0.9778,0.9893
./selection/japanese-vowels/datasets/CTGAN/3.csv,0.7143,1,9961,11684,0.9799,0.9855,0.9742,0.9832,0.9925,0.9987,0.9984,0.9706,0.9863
./selection/japanese-vowels/datasets/CTGAN/4.csv,0.7582,1,9961,11684,0.9854,0.9878,0.9813,0.9859,0.9905,0.9992,0.999,0.9752,0.9881
./selection/japanese-vowels/datasets/CTGAN/5.csv,0.7143,1,9961,11684,0.98,0.9855,0.9899,0.9829,0.976,0.9986,0.9983,0.9704,0.9843
./selection/japanese-vowels/datasets/CTGAN/6.csv,0.7363,1,9961,11684,0.9849,0.9895,0.9905,0.9877,0.985,0.9991,0.9989,0.9786,0.989
./selection/japanese-vowels/datasets/CTGAN/7.csv,0.7802,1,9961,11684,0.9841,0.9908,0.9872,0.9893,0.9915,0.9994,0.9992,0.9813,0.9909
./selection/japanese-vowels/datasets/CTGAN/8.csv,0.7363,3,9961,11684,0.9746,0.9902,0.9915,0.9885,0.9855,0.9993,0.9991,0.9799,0.9896
./selection/japanese-vowels/datasets/CTGAN/9.csv,0.7143,1,9961,11684,0.9787,0.9874,0.988,0.9852,0.9825,0.9992,0.999,0.9742,0.9868
./selection/japanese-vowels/datasets/CTGAN/10.csv,0.7582,2,9961,11684,0.9865,0.9925,0.992,0.9912,0.9905,0.9995,0.9994,0.9847,0.9923
