data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/lines-overload-50/datasets/CTGAN/1.csv,0.7157,0,4368,5663,0.9435,0.9956,0.9929,0.9949,0.9969,0.9998,0.9997,0.991,0.9958
./selection/lines-overload-50/datasets/CTGAN/2.csv,0.7419,1,4368,5663,0.96,0.9951,0.9909,0.9944,0.9979,0.9998,0.9997,0.9901,0.9955
./selection/lines-overload-50/datasets/CTGAN/3.csv,0.7186,0,4368,5663,0.9082,0.9951,0.9909,0.9944,0.9979,0.9998,0.9998,0.9901,0.9955
./selection/lines-overload-50/datasets/CTGAN/4.csv,0.7162,0,4368,5663,0.9119,0.9951,0.9909,0.9944,0.9979,0.9998,0.9998,0.9901,0.9955
./selection/lines-overload-50/datasets/CTGAN/5.csv,0.7243,0,4368,5663,0.9287,0.9956,0.9919,0.9949,0.9979,0.9998,0.9998,0.991,0.9959
./selection/lines-overload-50/datasets/CTGAN/6.csv,0.7409,1,4368,5663,0.9254,0.9947,0.9898,0.9939,0.9979,0.9998,0.9998,0.9892,0.9951
./selection/lines-overload-50/datasets/CTGAN/7.csv,0.7376,0,4368,5663,0.9331,0.9951,0.9909,0.9944,0.9979,0.9998,0.9998,0.9901,0.9955
./selection/lines-overload-50/datasets/CTGAN/8.csv,0.7112,1,4368,5663,0.9373,0.9947,0.9898,0.9939,0.9979,0.9998,0.9998,0.9892,0.9951
./selection/lines-overload-50/datasets/CTGAN/9.csv,0.7009,0,4368,5663,0.9183,0.9951,0.9909,0.9944,0.9979,0.9998,0.9998,0.9901,0.9955
./selection/lines-overload-50/datasets/CTGAN/10.csv,0.7347,1,4368,5663,0.9393,0.9951,0.9909,0.9944,0.9979,0.9998,0.9998,0.9901,0.9955
