data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/magic-gamma-telescope/datasets/SMOTEWB/1.csv,1.0,10,13565,17265,0.9434,0.934,0.9274,0.9226,0.9179,0.9793,0.9761,0.8651,0.932
./selection/magic-gamma-telescope/datasets/SMOTEWB/2.csv,0.9556,3,13565,17265,0.947,0.9361,0.9276,0.9253,0.923,0.9792,0.9771,0.8696,0.9345
./selection/magic-gamma-telescope/datasets/SMOTEWB/3.csv,0.9111,3,13565,17265,0.9597,0.9534,0.9522,0.9451,0.9382,0.9862,0.9852,0.9047,0.9515
./selection/magic-gamma-telescope/datasets/SMOTEWB/4.csv,1.0,10,13565,17265,0.9507,0.9321,0.9161,0.9213,0.9267,0.9784,0.976,0.8617,0.9314
./selection/magic-gamma-telescope/datasets/SMOTEWB/5.csv,0.9556,3,13565,17265,0.9608,0.9479,0.9436,0.9388,0.9341,0.9833,0.9819,0.8935,0.9462
./selection/magic-gamma-telescope/datasets/SMOTEWB/6.csv,0.9556,3,13565,17265,0.945,0.9285,0.9298,0.9151,0.901,0.9764,0.9744,0.8537,0.925
./selection/magic-gamma-telescope/datasets/SMOTEWB/7.csv,0.9111,3,13565,17265,0.9592,0.9492,0.9513,0.9398,0.9287,0.9838,0.9828,0.8961,0.9466
./selection/magic-gamma-telescope/datasets/SMOTEWB/8.csv,1.0,10,13565,17265,0.9448,0.9344,0.9236,0.9235,0.9233,0.9794,0.9759,0.8661,0.933
./selection/magic-gamma-telescope/datasets/SMOTEWB/9.csv,1.0,10,13565,17265,0.9461,0.9295,0.9179,0.9177,0.9176,0.9775,0.9747,0.856,0.928
./selection/magic-gamma-telescope/datasets/SMOTEWB/10.csv,1.0,10,13565,17265,0.9494,0.9353,0.9196,0.925,0.9304,0.9813,0.9788,0.8681,0.9347
