data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1-N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/magic-gamma-telescope/datasets/TabDDPM/1.csv,0.8222,3,13565,17265,0.8364,0.8969,0.8797,0.8798,0.8804,0.9553,0.9542,0.7899,0.8948
./selection/magic-gamma-telescope/datasets/TabDDPM/2.csv,0.7778,3,13565,17265,0.8466,0.8963,0.899,0.876,0.8541,0.9534,0.9525,0.7878,0.891
./selection/magic-gamma-telescope/datasets/TabDDPM/3.csv,0.7778,3,13565,17265,0.8485,0.9034,0.8943,0.8864,0.8787,0.9594,0.9588,0.8026,0.9003
./selection/magic-gamma-telescope/datasets/TabDDPM/4.csv,0.7778,3,13565,17265,0.8519,0.9101,0.9101,0.8931,0.877,0.962,0.9615,0.8161,0.9059
./selection/magic-gamma-telescope/datasets/TabDDPM/5.csv,0.8222,3,13565,17265,0.835,0.8988,0.8847,0.8815,0.8784,0.9563,0.955,0.7932,0.8962
./selection/magic-gamma-telescope/datasets/TabDDPM/6.csv,0.8222,3,13565,17265,0.8284,0.9033,0.9101,0.8839,0.8591,0.9573,0.9558,0.8021,0.8978
./selection/magic-gamma-telescope/datasets/TabDDPM/7.csv,0.8222,3,13565,17265,0.8329,0.8881,0.8741,0.8686,0.8632,0.9494,0.9469,0.7712,0.885
./selection/magic-gamma-telescope/datasets/TabDDPM/8.csv,0.7333,3,13565,17265,0.8407,0.9043,0.9101,0.8853,0.8625,0.9536,0.9547,0.8046,0.8991
./selection/magic-gamma-telescope/datasets/TabDDPM/9.csv,0.8667,4,13565,17265,0.8483,0.9076,0.9028,0.8909,0.8807,0.9613,0.9607,0.812,0.9043
./selection/magic-gamma-telescope/datasets/TabDDPM/10.csv,0.7778,3,13565,17265,0.8574,0.9076,0.9037,0.8907,0.878,0.9601,0.9608,0.811,0.9039
