data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/mammography/datasets/CTGAN/17.csv,0.7333,2,11183,15291,0.9617,0.9815,0.9809,0.9784,0.976,0.9982,0.9978,0.9623,0.9808
./selection/mammography/datasets/CTGAN/2.csv,0.8667,3,11183,15291,0.9666,0.9804,0.9764,0.9771,0.9779,0.9976,0.997,0.96,0.9801
./selection/mammography/datasets/CTGAN/3.csv,0.7333,2,11183,15291,0.9608,0.9766,0.9674,0.9729,0.9786,0.997,0.9965,0.9525,0.9769
./selection/mammography/datasets/CTGAN/4.csv,0.7333,0,11183,15291,0.9717,0.9807,0.9746,0.9776,0.9805,0.9978,0.9972,0.9607,0.9807
./selection/mammography/datasets/CTGAN/5.csv,0.7333,0,11183,15291,0.9599,0.9789,0.9763,0.9754,0.9744,0.9968,0.9965,0.9569,0.9784
./selection/mammography/datasets/CTGAN/6.csv,0.8667,0,11183,15291,0.9544,0.975,0.9646,0.971,0.9775,0.9957,0.995,0.9491,0.9753
./selection/mammography/datasets/CTGAN/7.csv,0.7333,2,11183,15291,0.959,0.9814,0.9849,0.9781,0.9714,0.997,0.9964,0.962,0.9801
./selection/mammography/datasets/CTGAN/8.csv,0.7333,0,11183,15291,0.9629,0.9791,0.9711,0.9757,0.9805,0.9975,0.9968,0.9575,0.9793
./selection/mammography/datasets/CTGAN/9.csv,0.8667,1,11183,15291,0.963,0.9763,0.9648,0.9726,0.9805,0.997,0.9965,0.9518,0.9768
./selection/mammography/datasets/CTGAN/10.csv,0.7333,0,11183,15291,0.9596,0.9774,0.9683,0.9738,0.9794,0.9971,0.9965,0.9541,0.9777
