data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/mammography/datasets/SMOTEWB/1.csv,0.8667,0,11183,15291,0.9946,0.9864,0.976,0.9844,0.9931,0.9971,0.9949,0.9726,0.9873
./selection/mammography/datasets/SMOTEWB/2.csv,0.8667,0,11183,15291,0.9946,0.9866,0.9741,0.9847,0.9958,0.9971,0.9951,0.9732,0.9877
./selection/mammography/datasets/SMOTEWB/3.csv,0.8667,0,11183,15291,0.9946,0.9856,0.9713,0.9836,0.9966,0.9971,0.9951,0.9713,0.987
./selection/mammography/datasets/SMOTEWB/4.csv,0.8667,0,11183,15291,0.9946,0.9864,0.9764,0.9844,0.9928,0.9971,0.9949,0.9726,0.9872
./selection/mammography/datasets/SMOTEWB/5.csv,0.8667,0,11183,15291,0.9946,0.9856,0.9704,0.9837,0.9977,0.997,0.9948,0.9714,0.9871
./selection/mammography/datasets/SMOTEWB/6.csv,0.8667,0,11183,15291,0.9946,0.9855,0.9717,0.9834,0.9958,0.9971,0.995,0.971,0.9867
./selection/mammography/datasets/SMOTEWB/7.csv,0.8667,0,11183,15291,0.9946,0.9859,0.972,0.984,0.9966,0.9971,0.9949,0.9719,0.9873
./selection/mammography/datasets/SMOTEWB/8.csv,0.8667,0,11183,15291,0.9946,0.9856,0.9704,0.9837,0.9977,0.997,0.9948,0.9714,0.9871
./selection/mammography/datasets/SMOTEWB/9.csv,0.8667,0,11183,15291,0.9946,0.9856,0.9717,0.9836,0.9962,0.997,0.9948,0.9713,0.9869
./selection/mammography/datasets/SMOTEWB/10.csv,0.8667,0,11183,15291,0.9946,0.9858,0.9757,0.9837,0.992,0.9971,0.9951,0.9713,0.9866
