data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/mammography/datasets/TVAE/1.csv,0.8667,0,11183,15291,0.9747,0.9864,0.9796,0.9843,0.9889,0.9975,0.9961,0.9724,0.9867
./selection/mammography/datasets/TVAE/2.csv,0.7333,0,11183,15291,0.9724,0.9835,0.9737,0.9809,0.9882,0.997,0.9955,0.9664,0.9841
./selection/mammography/datasets/TVAE/3.csv,0.8667,0,11183,15291,0.9715,0.9845,0.9706,0.9821,0.9939,0.9973,0.9956,0.9686,0.9857
./selection/mammography/datasets/TVAE/4.csv,0.7333,0,11183,15291,0.9724,0.9827,0.9715,0.98,0.9886,0.997,0.995,0.9648,0.9834
./selection/mammography/datasets/TVAE/5.csv,0.7333,0,11183,15291,0.9744,0.9838,0.9741,0.9813,0.9886,0.9968,0.9954,0.9671,0.9844
./selection/mammography/datasets/TVAE/6.csv,0.7333,0,11183,15291,0.9733,0.9855,0.9757,0.9832,0.9908,0.9973,0.9956,0.9705,0.9861
./selection/mammography/datasets/TVAE/7.csv,0.7333,0,11183,15291,0.9714,0.9837,0.973,0.9811,0.9893,0.9972,0.9956,0.9668,0.9844
./selection/mammography/datasets/TVAE/8.csv,0.8667,0,11183,15291,0.9725,0.9856,0.977,0.9833,0.9897,0.997,0.995,0.9707,0.9861
./selection/mammography/datasets/TVAE/9.csv,0.7333,0,11183,15291,0.9733,0.9856,0.9775,0.9833,0.9893,0.9974,0.996,0.9708,0.9861
./selection/mammography/datasets/TVAE/10.csv,0.7333,0,11183,15291,0.9716,0.9838,0.9712,0.9813,0.9916,0.9968,0.9941,0.9672,0.9848
