data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/nhanes/datasets/SMOTEWB/1.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763
./selection/nhanes/datasets/SMOTEWB/2.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763
./selection/nhanes/datasets/SMOTEWB/3.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763
./selection/nhanes/datasets/SMOTEWB/4.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763
./selection/nhanes/datasets/SMOTEWB/5.csv,0.7143,1,2105,2679,0.9244,0.8825,0.8834,0.857,0.8326,0.9247,0.9031,0.7587,0.8763
./selection/nhanes/datasets/SMOTEWB/6.csv,0.9048,4,2105,2679,0.9174,0.8965,0.8713,0.8844,0.9,0.9373,0.9187,0.7927,0.8969
./selection/nhanes/datasets/SMOTEWB/7.csv,0.8095,1,2105,2679,0.9244,0.889,0.8677,0.8754,0.8848,0.9209,0.9059,0.7767,0.8885
./selection/nhanes/datasets/SMOTEWB/8.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691
./selection/nhanes/datasets/SMOTEWB/9.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691
./selection/nhanes/datasets/SMOTEWB/10.csv,0.7143,1,2105,2679,0.9333,0.8685,0.8419,0.8558,0.8739,0.9156,0.8968,0.7384,0.8691
