data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/1.csv,0.7206,0,11464,14589,0.8683,0.9472,0.9467,0.9379,0.9292,0.9834,0.9836,0.8921,0.945
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/2.csv,0.75,0,11464,14589,0.841,0.9471,0.9469,0.9376,0.9284,0.9852,0.985,0.8918,0.9447
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/3.csv,0.7941,1,11464,14589,0.8671,0.9459,0.9545,0.9357,0.918,0.9845,0.984,0.8897,0.9424
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/4.csv,0.7059,2,11464,14589,0.8572,0.9479,0.959,0.9378,0.9176,0.984,0.9839,0.8937,0.9441
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/5.csv,0.7059,1,11464,14589,0.8595,0.9519,0.9664,0.9424,0.9196,0.9858,0.9856,0.9019,0.9478
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/6.csv,0.7206,2,11464,14589,0.8723,0.95,0.9639,0.9401,0.9176,0.9854,0.9853,0.8981,0.9459
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/7.csv,0.7059,0,11464,14589,0.8327,0.9472,0.9595,0.9368,0.9156,0.9845,0.9843,0.8925,0.9433
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/8.csv,0.7794,0,11464,14589,0.8354,0.9479,0.9533,0.9383,0.924,0.9857,0.9853,0.8937,0.9449
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/9.csv,0.7059,0,11464,14589,0.8588,0.9455,0.9492,0.9358,0.9236,0.9852,0.9848,0.8893,0.9428
./selection/online-shoppers-purchasing-intention/datasets/CTGAN/10.csv,0.7059,0,11464,14589,0.8427,0.95,0.9592,0.9404,0.9224,0.9854,0.9854,0.8979,0.9465
