data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/1.csv,0.7059,3,11464,14589,0.925,0.9297,0.8929,0.9207,0.9504,0.9773,0.9651,0.8592,0.9323
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/2.csv,0.7059,3,11464,14589,0.9256,0.9332,0.9041,0.9239,0.9448,0.9792,0.9699,0.8652,0.9346
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/3.csv,0.7059,3,11464,14589,0.9271,0.9443,0.9171,0.9366,0.9572,0.982,0.9742,0.8879,0.9459
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/4.csv,0.7059,3,11464,14589,0.9262,0.9321,0.9061,0.9223,0.9392,0.9771,0.9641,0.8626,0.933
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/5.csv,0.7059,3,11464,14589,0.9244,0.9356,0.9139,0.926,0.9388,0.9797,0.9689,0.8695,0.936
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/6.csv,0.7206,3,11464,14589,0.9221,0.9303,0.895,0.9211,0.9488,0.9793,0.9682,0.8599,0.9326
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/7.csv,0.7059,3,11464,14589,0.9234,0.9347,0.9111,0.9252,0.94,0.979,0.9684,0.8678,0.9354
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/8.csv,0.7206,3,11464,14589,0.9215,0.9323,0.8935,0.9242,0.9576,0.9797,0.9702,0.8654,0.9355
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/9.csv,0.7059,3,11464,14589,0.9228,0.9388,0.9061,0.9308,0.9572,0.981,0.971,0.8774,0.9411
./selection/online-shoppers-purchasing-intention/datasets/SMOTENC/10.csv,0.7059,3,11464,14589,0.9246,0.9335,0.9,0.9249,0.952,0.9798,0.97,0.8671,0.9358
