data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/pen-digits/datasets/CTGAN/1.csv,0.7,0,10992,13910,0.9829,0.9978,0.9979,0.9975,0.9971,0.9996,0.9997,0.9956,0.9977
./selection/pen-digits/datasets/CTGAN/2.csv,0.7167,2,10992,13910,0.9811,0.9984,0.9992,0.9981,0.9971,1.0,1.0,0.9967,0.9982
./selection/pen-digits/datasets/CTGAN/3.csv,0.7333,0,10992,13910,0.9773,0.9978,0.9975,0.9975,0.9975,0.9997,0.9998,0.9956,0.9978
./selection/pen-digits/datasets/CTGAN/4.csv,0.7167,1,10992,13910,0.9922,0.9986,0.9987,0.9983,0.9979,1.0,1.0,0.9971,0.9985
./selection/pen-digits/datasets/CTGAN/5.csv,0.7,0,10992,13910,0.985,0.998,0.9983,0.9977,0.9971,1.0,1.0,0.996,0.9979
./selection/pen-digits/datasets/CTGAN/6.csv,0.7333,0,10992,13910,0.9785,0.9962,0.9954,0.9956,0.9958,0.9993,0.9994,0.9923,0.9962
./selection/pen-digits/datasets/CTGAN/7.csv,0.7167,1,10992,13910,0.9893,0.996,0.9971,0.9954,0.9937,0.9995,0.9995,0.9919,0.9958
./selection/pen-digits/datasets/CTGAN/8.csv,0.7,0,10992,13910,0.9871,0.998,0.9979,0.9977,0.9975,0.9997,0.9998,0.996,0.998
./selection/pen-digits/datasets/CTGAN/9.csv,0.7,2,10992,13910,0.9931,0.9977,0.9975,0.9973,0.9971,0.9997,0.9997,0.9952,0.9976
./selection/pen-digits/datasets/CTGAN/10.csv,0.7167,1,10992,13910,0.9863,0.9973,0.9987,0.9968,0.995,0.9996,0.9996,0.9945,0.997
