data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1-N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/pen-digits/datasets/TabDDPM/1.csv,0.7833,0,10992,13910,0.9783,0.9892,0.9936,0.9873,0.9811,0.9987,0.9986,0.978,0.9882
./selection/pen-digits/datasets/TabDDPM/2.csv,0.8333,2,10992,13910,0.9818,0.9917,0.9937,0.9903,0.987,0.9987,0.9988,0.9831,0.9911
./selection/pen-digits/datasets/TabDDPM/3.csv,0.7333,0,10992,13910,0.9811,0.9917,0.9912,0.9903,0.9895,0.9987,0.9988,0.9831,0.9915
./selection/pen-digits/datasets/TabDDPM/4.csv,0.7667,2,10992,13910,0.9805,0.988,0.9878,0.9859,0.9841,0.998,0.9979,0.9754,0.9875
./selection/pen-digits/datasets/TabDDPM/5.csv,0.75,0,10992,13910,0.9788,0.9907,0.9903,0.9891,0.9878,0.9993,0.9992,0.9809,0.9903
./selection/pen-digits/datasets/TabDDPM/6.csv,0.8833,5,10992,13910,0.9818,0.9934,0.9949,0.9922,0.9895,0.9995,0.9995,0.9864,0.9929
./selection/pen-digits/datasets/TabDDPM/7.csv,0.85,2,10992,13910,0.9842,0.9955,0.9941,0.9948,0.9954,0.9997,0.9997,0.9908,0.9955
./selection/pen-digits/datasets/TabDDPM/8.csv,0.7167,3,10992,13910,0.9817,0.9923,0.9912,0.991,0.9908,0.9993,0.9992,0.9842,0.9921
./selection/pen-digits/datasets/TabDDPM/9.csv,0.7333,0,10992,13910,0.9806,0.9896,0.987,0.9878,0.9887,0.9986,0.9986,0.9787,0.9895
./selection/pen-digits/datasets/TabDDPM/10.csv,0.7167,1,10992,13910,0.9823,0.9905,0.9891,0.9889,0.9887,0.9983,0.9984,0.9806,0.9902
