data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/rl/datasets/CTGAN/11.csv,0.7576,1,2733,3479,0.8142,0.9037,0.9023,0.8866,0.8725,0.9418,0.9468,0.804,0.8998
./selection/rl/datasets/CTGAN/2.csv,0.7273,0,2733,3479,0.807,0.8922,0.9171,0.867,0.8221,0.9285,0.9378,0.7802,0.8834
./selection/rl/datasets/CTGAN/3.csv,0.7273,4,2733,3479,0.8027,0.9102,0.9301,0.8902,0.854,0.942,0.949,0.8169,0.9031
./selection/rl/datasets/CTGAN/4.csv,0.7273,0,2733,3479,0.8347,0.9102,0.9289,0.8904,0.8557,0.9431,0.9509,0.817,0.9034
./selection/rl/datasets/CTGAN/5.csv,0.7576,1,2733,3479,0.8218,0.9116,0.9485,0.8903,0.8389,0.9366,0.9454,0.8212,0.9025
./selection/rl/datasets/CTGAN/6.csv,0.7273,1,2733,3479,0.8038,0.8922,0.9021,0.8693,0.8389,0.9288,0.935,0.7794,0.8855
./selection/rl/datasets/CTGAN/7.csv,0.7576,1,2733,3479,0.8178,0.9102,0.9318,0.8903,0.8523,0.9441,0.9507,0.8169,0.9029
./selection/rl/datasets/CTGAN/8.csv,0.7576,2,2733,3479,0.8214,0.9203,0.956,0.9009,0.8523,0.9397,0.949,0.8388,0.9117
./selection/rl/datasets/CTGAN/9.csv,0.7879,2,2733,3479,0.8034,0.9001,0.9136,0.8803,0.8507,0.9373,0.9439,0.7971,0.8939
./selection/rl/datasets/CTGAN/10.csv,0.7576,4,2733,3479,0.7977,0.898,0.9064,0.8767,0.849,0.9361,0.9438,0.7912,0.8918
