data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/rl/datasets/GaussianCopula/1.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/2.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/3.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/4.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/5.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/6.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/7.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/8.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/9.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
./selection/rl/datasets/GaussianCopula/10.csv,0.9394,6,2733,3479,0.7571,0.8592,0.8386,0.8354,0.8322,0.9192,0.9183,0.7124,0.8558
