data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/rl/datasets/SMOTENC/1.csv,0.7273,4,2733,3479,0.9102,0.9016,0.8876,0.8869,0.8876,0.9439,0.9367,0.8009,0.8998
./selection/rl/datasets/SMOTENC/2.csv,0.7273,3,2733,3479,0.9051,0.9138,0.9133,0.8989,0.8859,0.95,0.9488,0.8248,0.9103
./selection/rl/datasets/SMOTENC/3.csv,0.7176,5,2733,3479,0.9037,0.8951,0.8855,0.8754,0.8658,0.9434,0.9415,0.7852,0.8914
./selection/rl/datasets/SMOTENC/4.csv,0.7273,2,2733,3479,0.9069,0.9023,0.9074,0.8834,0.8607,0.9488,0.9464,0.8003,0.8971
./selection/rl/datasets/SMOTENC/5.csv,0.7273,5,2733,3479,0.9048,0.9001,0.8793,0.885,0.8909,0.9465,0.9425,0.797,0.899
./selection/rl/datasets/SMOTENC/6.csv,0.7273,3,2733,3479,0.9015,0.9145,0.9273,0.8963,0.8674,0.95,0.9455,0.8252,0.9086
./selection/rl/datasets/SMOTENC/7.csv,0.7273,5,2733,3479,0.9059,0.908,0.9211,0.889,0.8591,0.9423,0.9384,0.8121,0.9019
./selection/rl/datasets/SMOTENC/8.csv,0.7273,3,2733,3479,0.9112,0.9124,0.9043,0.898,0.8926,0.9512,0.9479,0.8218,0.9099
./selection/rl/datasets/SMOTENC/9.csv,0.7273,3,2733,3479,0.9055,0.903,0.8828,0.8898,0.8993,0.947,0.9397,0.8051,0.9026
./selection/rl/datasets/SMOTENC/10.csv,0.7273,5,2733,3479,0.9066,0.9124,0.8911,0.8985,0.906,0.9524,0.9463,0.8215,0.9116
