data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/seismic-bumps/datasets/SMOTENC/1.csv,0.7524,1,2584,3379,0.8953,0.895,0.8728,0.8792,0.8862,0.9505,0.9241,0.7867,0.8939
./selection/seismic-bumps/datasets/SMOTENC/2.csv,0.7333,1,2584,3379,0.8901,0.9112,0.887,0.8984,0.9103,0.9566,0.9325,0.82,0.9111
./selection/seismic-bumps/datasets/SMOTENC/3.csv,0.7143,1,2584,3379,0.8964,0.9061,0.8672,0.8956,0.9276,0.9592,0.9385,0.8132,0.9087
./selection/seismic-bumps/datasets/SMOTENC/4.csv,0.7143,1,2584,3379,0.8938,0.9016,0.8667,0.8887,0.9121,0.954,0.9293,0.8017,0.9029
./selection/seismic-bumps/datasets/SMOTENC/5.csv,0.7714,1,2584,3379,0.8953,0.8979,0.8555,0.8868,0.9224,0.9528,0.9277,0.7975,0.901
./selection/seismic-bumps/datasets/SMOTENC/6.csv,0.7143,1,2584,3379,0.8979,0.9009,0.8712,0.8861,0.9017,0.9527,0.9344,0.7989,0.901
./selection/seismic-bumps/datasets/SMOTENC/7.csv,0.7333,1,2584,3379,0.8942,0.9009,0.8637,0.888,0.9138,0.9555,0.9364,0.8003,0.9025
./selection/seismic-bumps/datasets/SMOTENC/8.csv,0.7143,1,2584,3379,0.9005,0.8913,0.8527,0.8765,0.9017,0.952,0.9306,0.7806,0.8926
./selection/seismic-bumps/datasets/SMOTENC/9.csv,0.7905,1,2584,3379,0.892,0.9038,0.87,0.8911,0.9138,0.9526,0.9294,0.8063,0.9051
./selection/seismic-bumps/datasets/SMOTENC/10.csv,0.7333,1,2584,3379,0.8931,0.895,0.8559,0.8834,0.9155,0.9527,0.9345,0.7917,0.8975
