data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/ur3-cobot-ops/datasets/SMOTEWB/1.csv,0.7789,0,7355,9572,0.936,0.9376,0.914,0.9284,0.9434,0.9827,0.9768,0.8735,0.9383
./selection/ur3-cobot-ops/datasets/SMOTEWB/2.csv,0.8105,0,7355,9572,0.9715,0.958,0.9377,0.9523,0.9677,0.9843,0.9733,0.9154,0.9592
./selection/ur3-cobot-ops/datasets/SMOTEWB/3.csv,0.7474,0,7355,9572,0.9421,0.9407,0.9126,0.9329,0.9543,0.9813,0.9728,0.8808,0.9424
./selection/ur3-cobot-ops/datasets/SMOTEWB/4.csv,0.8105,0,7355,9572,0.9717,0.9551,0.9215,0.9504,0.9823,0.9826,0.9702,0.912,0.9585
./selection/ur3-cobot-ops/datasets/SMOTEWB/5.csv,0.7263,0,7355,9572,0.9344,0.9363,0.9098,0.928,0.9476,0.9807,0.9727,0.872,0.9377
./selection/ur3-cobot-ops/datasets/SMOTEWB/6.csv,0.7053,0,7355,9572,0.945,0.9379,0.9166,0.9294,0.9434,0.9826,0.9749,0.8749,0.9385
./selection/ur3-cobot-ops/datasets/SMOTEWB/7.csv,0.7158,0,7355,9572,0.9399,0.9368,0.9139,0.9277,0.9421,0.9798,0.9686,0.872,0.9375
./selection/ur3-cobot-ops/datasets/SMOTEWB/8.csv,0.7474,0,7355,9572,0.9418,0.9418,0.9189,0.9342,0.9513,0.9842,0.9769,0.8834,0.943
./selection/ur3-cobot-ops/datasets/SMOTEWB/9.csv,0.7579,0,7355,9572,0.9387,0.936,0.9057,0.9277,0.9513,0.9816,0.9727,0.8716,0.9379
./selection/ur3-cobot-ops/datasets/SMOTEWB/10.csv,0.7158,0,7355,9572,0.9428,0.9418,0.9185,0.9336,0.9495,0.9841,0.9776,0.8824,0.9427
