data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./sensitivity_analysis/datasets/abalone/0.6t_0.2ord.csv,0.8571,2,4177,5299,0.9042,0.8929,0.8523,0.8809,0.913,0.944,0.8971,0.7866,0.8954,0.8333
./sensitivity_analysis/datasets/abalone/0.6t_0.4ord.csv,0.9286,5,4177,5299,0.9148,0.8986,0.8609,0.8863,0.9141,0.9488,0.9072,0.7967,0.9005,0.8333
./sensitivity_analysis/datasets/abalone/0.6t_0.6ord.csv,0.9286,5,4177,5299,0.9144,0.8967,0.8416,0.8898,0.9504,0.9493,0.9111,0.804,0.9034,0.8651
./sensitivity_analysis/datasets/abalone/0.7t_0.2ord.csv,1.0,8,4177,5299,0.9219,0.9009,0.8492,0.8914,0.9394,0.9462,0.8964,0.8054,0.9058,0.8651
./sensitivity_analysis/datasets/abalone/0.7t_0.4ord.csv,0.9286,5,4177,5299,0.9167,0.9042,0.8493,0.8952,0.9471,0.9505,0.9098,0.8122,0.9096,0.8333
./sensitivity_analysis/datasets/abalone/0.7t_0.6ord.csv,0.9286,5,4177,5299,0.917,0.8939,0.8373,0.8875,0.9515,0.948,0.9022,0.7999,0.9011,0.8651
./sensitivity_analysis/datasets/abalone/0.8t_0.2ord.csv,0.8571,2,4177,5299,0.9052,0.8887,0.8223,0.8807,0.9493,0.9463,0.9023,0.7855,0.8963,0.8413
./sensitivity_analysis/datasets/abalone/0.8t_0.4ord.csv,1.0,8,4177,5299,0.9193,0.8873,0.8242,0.8803,0.9482,0.9433,0.9042,0.7846,0.8949,0.8968
./sensitivity_analysis/datasets/abalone/0.8t_0.6ord.csv,0.9286,5,4177,5299,0.92,0.8986,0.846,0.8898,0.9405,0.945,0.9042,0.8019,0.9038,0.8889
./sensitivity_analysis/datasets/abalone/0.9t_0.2ord.csv,0.9286,5,4177,5299,0.913,0.8887,0.8192,0.8819,0.957,0.9471,0.904,0.7879,0.8973,0.8651
./sensitivity_analysis/datasets/abalone/0.9t_0.4ord.csv,1.0,8,4177,5299,0.9181,0.8854,0.8338,0.8754,0.924,0.9449,0.9064,0.7754,0.8902,0.9206
./sensitivity_analysis/datasets/abalone/0.9t_0.6ord.csv,1.0,8,4177,5299,0.9212,0.8962,0.8554,0.884,0.9152,0.9447,0.8997,0.7923,0.8986,0.8889
