data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./sensitivity_analysis/datasets/mammography/0.6t_0.2ord.csv,1.0,6,11183,15291,0.9944,0.9877,0.9761,0.986,0.9962,0.9974,0.9957,0.9754,0.9888,0.5714
./sensitivity_analysis/datasets/mammography/0.6t_0.4ord.csv,1.0,6,11183,15291,0.9947,0.9858,0.9707,0.9838,0.9977,0.9971,0.9948,0.9717,0.9873,0.6032
./sensitivity_analysis/datasets/mammography/0.6t_0.6ord.csv,1.0,6,11183,15291,0.9947,0.9868,0.973,0.9849,0.9973,0.9971,0.995,0.9736,0.9881,0.619
./sensitivity_analysis/datasets/mammography/0.7t_0.2ord.csv,1.0,6,11183,15291,0.9945,0.9851,0.9675,0.9832,1,0.9968,0.9942,0.9707,0.987,0.5714
./sensitivity_analysis/datasets/mammography/0.7t_0.4ord.csv,1.0,6,11183,15291,0.9947,0.9871,0.9735,0.9853,0.9977,0.9973,0.9952,0.9743,0.9884,0.619
./sensitivity_analysis/datasets/mammography/0.7t_0.6ord.csv,1.0,6,11183,15291,0.9946,0.9848,0.9765,0.9825,0.9886,0.9968,0.9945,0.9691,0.9853,0.6508
./sensitivity_analysis/datasets/mammography/0.8t_0.2ord.csv,1.0,6,11183,15291,0.9947,0.9845,0.9665,0.9825,0.9996,0.9969,0.9946,0.9694,0.9864,0.6032
./sensitivity_analysis/datasets/mammography/0.8t_0.4ord.csv,1.0,6,11183,15291,0.9944,0.9866,0.9767,0.9846,0.9928,0.997,0.9949,0.9729,0.9874,0.6032
./sensitivity_analysis/datasets/mammography/0.8t_0.6ord.csv,1.0,6,11183,15291,0.9948,0.9853,0.9701,0.9833,0.9973,0.9969,0.9945,0.9708,0.9868,0.619
./sensitivity_analysis/datasets/mammography/0.9t_0.2ord.csv,1.0,6,11183,15291,0.9946,0.9861,0.9791,0.984,0.9889,0.9969,0.9949,0.9718,0.9865,0.6032
./sensitivity_analysis/datasets/mammography/0.9t_0.4ord.csv,1.0,6,11183,15291,0.9947,0.9841,0.9738,0.9818,0.9901,0.9968,0.9946,0.968,0.9849,0.6508
./sensitivity_analysis/datasets/mammography/0.9t_0.6ord.csv,1.0,6,11183,15291,0.9947,0.9859,0.972,0.984,0.9966,0.9968,0.9944,0.9719,0.9873,0.619
