data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./sensitivity_analysis/datasets/rl/0.6t_0.1ord.csv,0.6061,3,2733,3479,0.9084,0.9411,0.9477,0.9299,0.9128,0.974,0.9744,0.8796,0.9375,0.5714
./sensitivity_analysis/datasets/rl/0.6t_0.3ord.csv,0.6667,4,2733,3479,0.8915,0.9511,0.9342,0.9435,0.953,0.9833,0.9831,0.9006,0.9514,0.6571
./sensitivity_analysis/datasets/rl/0.6t_0.5ord.csv,0.7576,6,2733,3479,0.9055,0.9511,0.94,0.9431,0.9463,0.9782,0.9799,0.9003,0.9505,0.6571
./sensitivity_analysis/datasets/rl/0.7t_0.1ord.csv,0.7273,4,2733,3479,0.912,0.9425,0.9607,0.9308,0.9027,0.9729,0.9757,0.883,0.9375,0.5714
./sensitivity_analysis/datasets/rl/0.7t_0.3ord.csv,0.7576,5,2733,3479,0.9066,0.9425,0.93,0.9331,0.9362,0.979,0.9793,0.8827,0.9417,0.5714
./sensitivity_analysis/datasets/rl/0.7t_0.5ord.csv,0.7576,6,2733,3479,0.9069,0.9411,0.9446,0.9302,0.9161,0.9757,0.9763,0.8796,0.938,0.6429
./sensitivity_analysis/datasets/rl/0.8t_0.1ord.csv,0.8182,2,2733,3479,0.9105,0.9598,0.9856,0.9514,0.9195,0.9762,0.9796,0.9188,0.9547,0.5857
./sensitivity_analysis/datasets/rl/0.8t_0.3ord.csv,0.8182,6,2733,3479,0.9069,0.9454,0.9362,0.9362,0.9362,0.9737,0.9761,0.8885,0.9443,0.6571
./sensitivity_analysis/datasets/rl/0.8t_0.5ord.csv,0.8182,6,2733,3479,0.9073,0.9454,0.9452,0.9356,0.9262,0.9787,0.9803,0.8884,0.943,0.6714
./sensitivity_analysis/datasets/rl/0.85t_0.1ord.csv,0.8788,2,2733,3479,0.9102,0.944,0.945,0.9338,0.9228,0.9781,0.9784,0.8854,0.9413,0.5857
./sensitivity_analysis/datasets/rl/0.85t_0.3ord.csv,0.8788,6,2733,3479,0.9123,0.944,0.9512,0.9333,0.9161,0.9765,0.9771,0.8855,0.9405,0.6571
./sensitivity_analysis/datasets/rl/0.85t_0.5ord.csv,0.8788,6,2733,3479,0.9069,0.944,0.9544,0.9331,0.9128,0.9797,0.98,0.8856,0.94,0.6571
