data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./sensitivity_analysis/datasets/ur3-cobot-ops/0.6t_0.1ord.csv,0.6737,3,7355,9572,0.9555,0.9491,0.9299,0.942,0.9549,0.9854,0.9782,0.8973,0.9498,0.5873
./sensitivity_analysis/datasets/ur3-cobot-ops/0.6t_0.2ord.csv,0.6947,4,7355,9572,0.9415,0.9465,0.9183,0.9391,0.961,0.9848,0.98,0.8922,0.9483,0.6032
./sensitivity_analysis/datasets/ur3-cobot-ops/0.6t_0.3ord.csv,0.8105,6,7355,9572,0.9698,0.959,0.9487,0.9524,0.9562,0.9871,0.9795,0.9164,0.9587,0.6111
./sensitivity_analysis/datasets/ur3-cobot-ops/0.7t_0.1ord.csv,0.7263,3,7355,9572,0.9504,0.9446,0.9265,0.9365,0.947,0.9846,0.9788,0.8878,0.9449,0.6032
./sensitivity_analysis/datasets/ur3-cobot-ops/0.7t_0.2ord.csv,0.7368,4,7355,9572,0.9561,0.9488,0.9359,0.9412,0.947,0.9827,0.9747,0.8963,0.9486,0.631
./sensitivity_analysis/datasets/ur3-cobot-ops/0.7t_0.3ord.csv,0.7684,6,7355,9572,0.9498,0.9441,0.9304,0.9359,0.9421,0.9833,0.976,0.8869,0.9439,0.627
./sensitivity_analysis/datasets/ur3-cobot-ops/0.8t_0.1ord.csv,0.8,3,7355,9572,0.9411,0.9407,0.9122,0.933,0.9555,0.9835,0.9784,0.8813,0.9426,0.6151
./sensitivity_analysis/datasets/ur3-cobot-ops/0.8t_0.2ord.csv,0.8737,4,7355,9572,0.9465,0.9457,0.9269,0.9378,0.9495,0.9822,0.9747,0.8901,0.9462,0.6151
./sensitivity_analysis/datasets/ur3-cobot-ops/0.8t_0.3ord.csv,0.8105,6,7355,9572,0.9675,0.9582,0.9355,0.9533,0.9732,0.9847,0.974,0.9173,0.9601,0.623
./sensitivity_analysis/datasets/ur3-cobot-ops/0.85t_0.1ord.csv,0.8842,6,7355,9572,0.9688,0.9525,0.9392,0.9454,0.9519,0.9847,0.9764,0.9036,0.9524,0.6111
./sensitivity_analysis/datasets/ur3-cobot-ops/0.85t_0.2ord.csv,0.8632,4,7355,9572,0.9587,0.9488,0.9348,0.9415,0.9488,0.9832,0.9754,0.8966,0.9488,0.6151
./sensitivity_analysis/datasets/ur3-cobot-ops/0.85t_0.3ord.csv,0.8632,6,7355,9572,0.9586,0.9522,0.9421,0.9446,0.947,0.9837,0.9749,0.9026,0.9516,0.6111
