data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./sensitivity_analysis/datasets/wilt/0.6t_0.2ord.csv,1.0,5,4839,6408,0.9953,0.9899,0.9873,0.9882,0.9891,0.9989,0.9984,0.9793,0.9898,0.6508
./sensitivity_analysis/datasets/wilt/0.6t_0.4ord.csv,1.0,5,4839,6408,0.9953,0.9899,0.9873,0.9882,0.9891,0.9989,0.9984,0.9793,0.9898,0.6508
./sensitivity_analysis/datasets/wilt/0.6t_0.6ord.csv,1.0,5,4839,6408,0.9953,0.9902,0.9822,0.9887,0.9954,0.9986,0.9975,0.9802,0.9909,0.6508
./sensitivity_analysis/datasets/wilt/0.7t_0.2ord.csv,1.0,5,4839,6408,0.9953,0.9899,0.9873,0.9882,0.9891,0.9989,0.9984,0.9793,0.9898,0.6508
./sensitivity_analysis/datasets/wilt/0.7t_0.4ord.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9984,0.9973,0.9802,0.9908,0.6508
./sensitivity_analysis/datasets/wilt/0.7t_0.6ord.csv,1.0,5,4839,6408,0.9953,0.9906,0.9831,0.9892,0.9954,0.9989,0.9984,0.9811,0.9912,0.6508
./sensitivity_analysis/datasets/wilt/0.8t_0.2ord.csv,1.0,5,4839,6408,0.9953,0.991,0.9874,0.9896,0.9918,0.9989,0.9985,0.9817,0.9911,0.6508
./sensitivity_analysis/datasets/wilt/0.8t_0.4ord.csv,1.0,5,4839,6408,0.9953,0.9902,0.9839,0.9887,0.9936,0.9987,0.9982,0.9802,0.9907,0.6508
./sensitivity_analysis/datasets/wilt/0.8t_0.6ord.csv,1.0,5,4839,6408,0.9947,0.9918,0.9831,0.9906,0.9982,0.9989,0.9983,0.9835,0.9926,0.6508
./sensitivity_analysis/datasets/wilt/0.9t_0.2ord.csv,1.0,5,4839,6408,0.9953,0.991,0.9874,0.9896,0.9918,0.9989,0.9984,0.9817,0.9911,0.6508
./sensitivity_analysis/datasets/wilt/0.9t_0.4ord.csv,1.0,5,4839,6408,0.9947,0.9918,0.9832,0.9906,0.9982,0.9986,0.9975,0.9835,0.9926,0.6508
./sensitivity_analysis/datasets/wilt/0.9t_0.6ord.csv,1.0,5,4839,6408,0.9947,0.993,0.9857,0.9919,0.9982,0.999,0.9985,0.9858,0.9936,0.6508
