Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
a2pop,a2pop,a2pop,a2pop,a2pop,a1sx,a1sx
a1pop,a3pop,a1pop,b3call,a1pop,temp,temp
a3pop,a1pop,a3pop,b1call,a3pop,a1sy,b3call
mxql,b3eff,mxql,b2call,mxql,a2pop,b2call
b1eff,mxql,b1eff,a1pop,b1y,b3call,a1cy
temp,b2y,temp,a3pop,b1eff,a2cy,b1call
a2cx,a1cy,a2cx,mxql,temp,a3pop,a1rho
a2rho,a1cx,a2rho,b2y,a2rho,a2sx,mxql
a1sy,a2rho,a1sy,b3y,a2cx,a1pop,b3y
b2call,a3sy,a1rho,b3x,b2y,a3sx,a3rho
b3x,b1call,b2call,a1rho,b2x,a2rho,b2y
a2sx,b3call,b1call,b1eff,b3x,a1cx,b1y
a1rho,b1eff,b2x,a2cx,a3cy,a2sy,a2sy
b1call,b2call,b3x,b2x,a2sy,a3sy,a1sy
b3eff,b3x,b3eff,a3rho,a1sy,b2x,a2sx
b2x,a2cx,a2sx,a3cy,b2call,b3x,a3cy
b2y,b2x,b1y,a2cy,a2cy,a3cx,a3sy
a2sy,a3sx,a2sy,b2eff,a3rho,b2eff,a2cy
b1y,a3cx,a3cy,b1x,a1rho,b3eff,a2rho
b3call,a2sx,a1cx,a2rho,a2sx,b2y,b1x
a1sx,a2sy,a1sx,b1y,a1cy,b1x,a2cx
a3cy,a1sx,a3sx,a1cy,b3eff,b3y,a3pop
a1cx,a1rho,a3cx,a1sx,b1call,a1cy,a3sx
a3sx,a2cy,a1cy,a1cx,a3sx,a3rho,b3x
a2cy,a1sy,b2y,b3eff,a3cx,a2cx,a1cx
a3cx,a3cy,b3y,a3cx,b3call,a1rho,b1eff
a3sy,temp,a3sy,a3sx,b2eff,a3cy,b2x
a1cy,b1x,a3rho,temp,a3sy,b1eff,a2pop
b1x,b1y,b2eff,a2sx,b3y,b1y,a1pop
b3y,a3rho,b1x,a3sy,a1sx,mxql,a3cx
b2eff,b2eff,a2cy,a2sy,a1cx,b2call,b2eff
a3rho,b3y,b3call,a1sy,b1x,b1call,b3eff
