Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
international_plan,total_day_charge,international_plan,total_day_charge,total_day_charge,phone_number,phone_number
total_day_minutes,total_day_minutes,number_customer_service_calls,total_day_minutes,total_day_minutes,state,state
total_day_charge,number_customer_service_calls,total_day_minutes,total_eve_minutes,number_customer_service_calls,total_day_minutes,total_night_charge
number_customer_service_calls,international_plan,total_day_charge,total_eve_charge,international_plan,total_eve_minutes,account_length
voice_mail_plan,total_night_charge,voice_mail_plan,state,total_intl_charge,total_night_minutes,total_intl_minutes
number_vmail_messages,total_intl_minutes,number_vmail_messages,phone_number,total_intl_minutes,account_length,total_night_calls
total_eve_charge,number_vmail_messages,total_eve_charge,total_night_minutes,voice_mail_plan,total_intl_minutes,total_day_calls
total_eve_minutes,total_night_minutes,total_eve_minutes,total_night_charge,number_vmail_messages,total_day_charge,total_eve_calls
total_intl_charge,state,total_intl_charge,total_intl_charge,total_intl_calls,total_eve_charge,total_eve_charge
total_intl_minutes,total_day_calls,total_intl_minutes,total_intl_minutes,total_eve_minutes,total_night_charge,total_intl_charge
total_night_charge,voice_mail_plan,total_night_charge,number_customer_service_calls,total_eve_charge,total_day_calls,total_night_minutes
total_night_minutes,area_code,total_night_minutes,account_length,total_night_minutes,total_eve_calls,total_eve_minutes
total_intl_calls,total_intl_charge,total_intl_calls,total_eve_calls,total_night_charge,total_night_calls,total_day_minutes
phone_number,total_eve_minutes,phone_number,total_day_calls,total_day_calls,total_intl_charge,total_day_charge
total_eve_calls,total_eve_charge,total_eve_calls,total_intl_calls,total_eve_calls,total_intl_calls,total_intl_calls
state,phone_number,total_day_calls,total_night_calls,phone_number,number_customer_service_calls,number_customer_service_calls
total_day_calls,total_eve_calls,account_length,voice_mail_plan,state,number_vmail_messages,area_code
account_length,account_length,area_code,number_vmail_messages,account_length,area_code,number_vmail_messages
total_night_calls,total_night_calls,total_night_calls,area_code,total_night_calls,international_plan,international_plan
area_code,total_intl_calls,state,international_plan,area_code,voice_mail_plan,voice_mail_plan
