Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
Line_178,Line_48,Line_178,Line_37,Line_48,Line_48,Line_48
Line_177,Line_32,Line_177,Line_24,Line_32,Line_36,Line_36
Line_176,Line_33,Line_176,Line_133,Line_33,Line_53,Line_31
Line_175,Line_143,Line_173,Line_25,Line_143,Line_71,Line_103
Line_173,Line_25,Line_175,Line_172,Line_25,Line_34,Line_30
Line_7,Line_34,Line_7,Line_49,Line_119,Line_157,Line_113
Line_172,Line_24,Line_172,Line_58,Line_34,Line_33,Line_106
Line_56,Line_119,Line_121,Line_169,Line_181,Line_181,Line_153
Line_33,Line_37,Line_174,Line_174,Line_180,Line_37,Line_104
Line_32,Line_181,Line_78,Line_168,Line_120,Line_32,Line_147
Line_48,Line_180,Line_70,Line_68,Line_150,Line_120,Line_39
Line_143,Line_133,Line_35,Line_167,Line_170,Line_24,Line_55
Line_25,Line_120,Line_69,Line_151,Line_24,Line_112,Line_74
Line_34,Line_151,Line_151,Line_66,Line_149,Line_169,Line_152
Line_121,Line_150,Line_76,Line_143,Line_154,Line_143,Line_134
Line_24,Line_170,Line_24,Line_71,Line_148,Line_119,Line_118
Line_174,Line_58,Line_37,Line_33,Line_37,Line_109,Line_79
Line_35,Line_49,Line_128,Line_35,Line_69,Line_172,Line_164
Line_151,Line_149,Line_25,Line_128,Line_133,Line_149,Line_81
Line_69,Line_35,Line_133,Line_110,Line_121,Line_148,Line_131
Line_70,Line_169,Line_143,Line_51,Line_173,Line_63,Line_10
Line_37,Line_154,Line_33,Line_15,Line_70,Line_94,Line_67
Line_119,Line_128,Line_75,Line_109,Line_35,Line_183,Line_144
Line_51,Line_148,Line_68,Line_16,Line_151,Line_52,Line_122
Line_78,Line_174,Line_167,Line_108,Line_15,Line_66,Line_137
Line_15,Line_68,Line_51,Line_75,Line_16,Line_151,Line_140
Line_16,Line_168,Line_15,Line_32,Line_51,Line_128,Line_87
Line_133,Line_172,Line_16,Line_112,Line_178,Line_15,Line_72
Line_76,Line_66,Line_32,Line_76,Line_78,Line_75,Line_123
Line_181,Line_167,Line_48,Line_12,Line_177,Line_161,Line_54
Line_128,Line_69,Line_34,Line_182,Line_128,Line_42,Line_105
Line_68,Line_70,Line_56,Line_78,Line_7,Line_58,Line_111
Line_167,Line_51,Line_110,Line_7,Line_172,Line_180,Line_107
Line_180,Line_15,Line_119,Line_102,Line_5,Line_25,Line_171
Line_110,Line_71,Line_38,Line_48,Line_76,Line_69,Line_59
