Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
PageValues,PageValues,PageValues,PageValues,PageValues,ProductRelated_Duration,ProductRelated_Duration
ExitRates,ExitRates,ExitRates,Month,ExitRates,ExitRates,ExitRates
ProductRelated_Duration,ProductRelated_Duration,BounceRates,Region,ProductRelated_Duration,PageValues,ProductRelated
ProductRelated,BounceRates,ProductRelated,Administrative,BounceRates,Administrative_Duration,Administrative_Duration
BounceRates,Month,Administrative,OperatingSystems,ProductRelated,ProductRelated,TrafficType
Administrative,Administrative,ProductRelated_Duration,ExitRates,Administrative,BounceRates,PageValues
Administrative_Duration,ProductRelated,VisitorType,SpecialDay,Administrative_Duration,Month,Administrative
VisitorType,Administrative_Duration,Administrative_Duration,ProductRelated,Month,Informational_Duration,BounceRates
Informational,TrafficType,Informational,Administrative_Duration,Informational_Duration,Administrative,Month
Informational_Duration,Informational_Duration,SpecialDay,Informational,VisitorType,TrafficType,Informational_Duration
Month,VisitorType,Month,ProductRelated_Duration,Informational,Region,Region
SpecialDay,Informational,Informational_Duration,TrafficType,SpecialDay,Browser,Browser
OperatingSystems,OperatingSystems,Browser,Browser,OperatingSystems,Informational,Informational
TrafficType,SpecialDay,OperatingSystems,BounceRates,TrafficType,OperatingSystems,OperatingSystems
Browser,Browser,Weekend,Informational_Duration,Browser,VisitorType,VisitorType
Region,Weekend,Region,Weekend,Region,SpecialDay,Weekend
Weekend,Region,TrafficType,VisitorType,Weekend,Weekend,SpecialDay
