Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
feature16,feature14,feature9,feature15,feature16,feature14,feature14
feature9,feature16,feature16,feature11,feature14,feature11,feature11
feature14,feature8,feature14,feature9,feature9,feature12,feature12
feature13,feature15,feature11,feature3,feature8,feature7,feature7
feature11,feature9,feature12,feature14,feature11,feature6,feature6
feature8,feature4,feature13,feature12,feature4,feature5,feature5
feature12,feature6,feature8,feature7,feature15,feature9,feature3
feature7,feature2,feature7,feature10,feature13,feature13,feature9
feature4,feature12,feature4,feature1,feature12,feature3,feature13
feature2,feature11,feature2,feature16,feature3,feature1,feature10
feature15,feature13,feature15,feature13,feature6,feature8,feature1
feature6,feature7,feature6,feature5,feature7,feature10,feature8
feature5,feature1,feature5,feature8,feature2,feature16,feature4
feature3,feature5,feature3,feature6,feature5,feature4,feature2
feature1,feature3,feature1,feature4,feature1,feature2,feature16
feature10,feature10,feature10,feature2,feature10,feature15,feature15
